name,solved,type,objval,runtime_p,gap_p,Z1_p,Z2_p,Z3_p,Z4_p,Z5_p,FixObjVal,FixGAP,FixZ1,FixZ2,FixZ3,FixZ4,FixZ5
I3_N5_M3_T15_C200_DepCentral_s1,True,P1,23.95968639016486,0.07599997520446777,0.0,23.95968639016486,0.0,0.0,0.0,0.0,1257.9596863901647,0.0,23.95968639016486,7.8517002766692485,7.8517002766692485,738.0,496.0
I3_N5_M3_T15_C200_DepCentral_s1,True,P2,16000034.675022844,0.03099989891052246,0.0,34.67692649873912,0.0,0.0,0.0,0.0,692.676926498739,0.0,34.67692649873912,0.0,0.0,0.0,658.0
I3_N5_M3_T15_C200_DepCentral_s1,True,P3,28.646452796495765,0.029000043869018555,0.0,28.646452796495765,0.0,0.0,0.0,0.0,402.6464527964958,0.0,28.646452796495765,2.2729865815706,2.2729865815706,84.0,290.0
I3_N5_M3_T15_C200_DepCentral_s1,True,P4,72000034.6769265,0.039999961853027344,0.0,34.67692649873912,0.0,0.0,0.0,0.0,418.6769264987391,0.0,34.67692649873912,0.0,0.0,2.0,382.0
I3_N5_M3_T15_C200_DepCentral_s1,True,P5,28.646452796495765,0.014999866485595703,0.0,28.646452796495765,0.0,0.0,0.0,0.0,676.6464527964959,0.0,28.646452796495765,2.2729865815706,2.2729865815706,82.0,566.0
I3_N5_M3_T15_C200_DepCentral_s1,True,P6,1.6791469914607844,0.02500009536743164,0.0,1.6791469914607846,0.0,0.0,0.0,0.0,832.2965008649539,0.0,34.29650086495402,0.0,0.0,140.0,658.0
I3_N5_M3_T15_C250_DepCentral_s1,True,P1,23.95968639016486,0.02500009536743164,0.0,23.95968639016486,0.0,0.0,0.0,0.0,657.959686390165,0.0,23.95968639016486,0.0,0.0,138.0,496.0
I3_N5_M3_T15_C250_DepCentral_s1,True,P2,28.646452796495765,0.024000167846679688,0.0,28.646452796495765,0.0,0.0,0.0,0.0,318.6464527964958,0.0,28.646452796495765,0.0,0.0,0.0,290.0
I3_N5_M3_T15_C250_DepCentral_s1,True,P3,23.95968639016486,0.02499985694885254,0.0,23.95968639016486,0.0,0.0,0.0,0.0,701.9596863901648,0.0,23.95968639016486,0.0,0.0,138.0,540.0
I3_N5_M3_T15_C250_DepCentral_s1,True,P4,28.646452796495765,0.0279998779296875,0.0,28.646452796495765,0.0,0.0,0.0,0.0,318.6464527964958,0.0,28.646452796495765,0.0,0.0,0.0,290.0
I3_N5_M3_T15_C250_DepCentral_s1,True,P5,28.646452796495765,0.02499985694885254,0.0,28.646452796495765,0.0,0.0,0.0,0.0,318.6464527964958,0.0,28.646452796495765,0.0,0.0,0.0,290.0
I3_N5_M3_T15_C250_DepCentral_s1,True,P6,1.6791469914607844,0.021999835968017578,0.0,1.6791469914607846,0.0,0.0,0.0,0.0,692.2965008649539,0.0,34.29650086495402,0.0,0.0,0.0,658.0
